date,home_team,away_team,home_score,away_score
2019-10-01,Jazz,Bulls,103,108
2019-10-02,Bucks,Rockets,127,112
2019-10-03,Hornets,Kings,99,100
2019-10-04,Pacers,Lakers,121,111
2019-10-05,Kings,76ers,116,90
2019-10-06,Jazz,Spurs,107,121
2019-10-07,Bulls,Heat,103,125
2019-10-08,Rockets,Lakers,83,128
2019-10-09,Thunder,Heat,106,113
2019-10-10,Raptors,Pacers,106,97
2019-10-11,Trail Blazers,Bucks,80,125
2019-10-12,Hawks,Timberwolves,121,98
2019-10-13,Cavaliers,Pelicans,102,104
2019-10-14,Pelicans,Pistons,129,80
2019-10-15,Bucks,Timberwolves,105,133
2019-10-16,Magic,Rockets,104,119
2019-10-17,Pelicans,Warriors,111,102
2019-10-18,Rockets,Kings,110,110
2019-10-19,76ers,Bucks,111,84
2019-10-20,Bucks,Pelicans,108,126
2019-10-21,Cavaliers,Rockets,97,109
2019-10-22,Magic,Bulls,93,106
2019-10-23,Wizards,Clippers,123,93
2019-10-24,Wizards,Bulls,120,130
2019-10-25,Timberwolves,Pelicans,134,90
2019-10-26,Cavaliers,Spurs,80,131
2019-10-27,Heat,76ers,110,114
2019-10-28,Wizards,Kings,105,109
2019-10-29,Mavericks,Nets,96,100
2019-10-30,Lakers,Kings,99,114
2019-10-31,Hornets,Pistons,111,118
2019-11-01,Knicks,Pistons,112,103
2019-11-02,Magic,Knicks,122,100
2019-11-03,Hawks,Thunder,110,96
2019-11-04,Lakers,Spurs,125,89
2019-11-05,76ers,Bulls,102,112
2019-11-06,Pelicans,Thunder,84,112
2019-11-07,Thunder,76ers,101,116
2019-11-08,Suns,Clippers,108,94
2019-11-09,Nets,Pelicans,99,93
2019-11-10,Bucks,Bulls,112,80
2019-11-11,Lakers,Bulls,115,102
2019-11-12,Celtics,Suns,103,104
2019-11-13,Spurs,Cavaliers,120,134
2019-11-14,Pelicans,Hawks,122,105
2019-11-15,Thunder,Mavericks,114,92
2019-11-16,Suns,Nuggets,118,133
2019-11-17,Nuggets,Pistons,108,124
2019-11-18,Lakers,Raptors,111,130
2019-11-19,Grizzlies,Magic,110,112
2019-11-20,Raptors,Suns,89,121
2019-11-21,Trail Blazers,Hornets,126,116
2019-11-22,Suns,Celtics,116,90
2019-11-23,Hornets,Clippers,108,101
2019-11-24,Cavaliers,Heat,125,97
2019-11-25,Warriors,Timberwolves,98,124
2019-11-26,Knicks,Kings,125,102
2019-11-27,Jazz,Bulls,121,118
2019-11-28,Trail Blazers,Raptors,112,96
2019-11-29,Bulls,Hornets,106,125
2019-11-30,76ers,Knicks,124,115
2019-12-01,Nuggets,Rockets,98,128
2019-12-02,Nets,Hornets,93,102
2019-12-03,76ers,Knicks,94,132
2019-12-04,Suns,Thunder,110,115
2019-12-05,Magic,Rockets,105,115
2019-12-06,Hawks,Pacers,105,104
2019-12-07,Cavaliers,Knicks,129,126
2019-12-08,Bucks,Wizards,100,114
2019-12-09,Warriors,Nuggets,120,134
2019-12-10,Trail Blazers,Cavaliers,81,95
2019-12-11,Wizards,Mavericks,85,100
2019-12-12,Knicks,Bulls,132,111
2019-12-13,76ers,Trail Blazers,88,114
2019-12-14,Pacers,Celtics,91,111
2019-12-15,Warriors,Bucks,89,118
2019-12-16,Heat,Kings,106,91
2019-12-17,Kings,Heat,94,104
2019-12-18,Lakers,Thunder,103,120
2019-12-19,Pacers,Pelicans,88,115
2019-12-20,Timberwolves,Bucks,103,100
2019-12-21,Nuggets,Cavaliers,113,100
2019-12-22,Celtics,Heat,120,119
2019-12-23,Pistons,Celtics,97,112
2019-12-24,Nets,Mavericks,119,91
2019-12-25,Jazz,Thunder,105,147
2019-12-26,Spurs,Knicks,97,100
2019-12-27,Bucks,Rockets,120,95
2019-12-28,Timberwolves,Clippers,89,117
2019-12-29,Knicks,Pacers,109,114
2019-12-30,Pelicans,Magic,117,111
2019-12-31,Spurs,Warriors,97,108
2020-01-01,Jazz,Timberwolves,112,97
2020-01-02,Spurs,Hornets,124,112
2020-01-03,Thunder,Grizzlies,106,116
2020-01-04,Warriors,Rockets,134,92
2020-01-05,Wizards,Magic,103,98
2020-01-06,Magic,Warriors,131,85
2020-01-07,Warriors,Lakers,110,96
2020-01-08,Jazz,Nets,109,114
2020-01-09,Heat,76ers,97,119
2020-01-10,Thunder,Bulls,105,116
2020-01-11,Suns,Cavaliers,103,113
2020-01-12,Nets,Thunder,106,115
2020-01-13,76ers,Celtics,123,129
2020-01-14,Wizards,Bucks,111,112
2020-01-15,Wizards,Mavericks,125,104
2020-01-16,Pacers,Heat,106,105
2020-01-17,Hornets,Warriors,98,105
2020-01-18,Pistons,Trail Blazers,110,105
2020-01-19,Timberwolves,Bulls,117,114
2020-01-20,Heat,Grizzlies,122,115
2020-01-21,Knicks,Heat,105,106
2020-01-22,Pistons,Hornets,117,105
2020-01-23,Raptors,Pacers,107,120
2020-01-24,Nets,Spurs,121,115
2020-01-25,Timberwolves,Hornets,111,113
2020-01-26,Wizards,Spurs,122,118
2020-01-27,Trail Blazers,Heat,139,114
2020-01-28,Pistons,Grizzlies,123,113
2020-01-29,Timberwolves,Mavericks,103,103
2020-01-30,Celtics,Hawks,110,111
2020-01-31,Celtics,Clippers,111,113
2020-02-01,Kings,Bucks,100,110
2020-02-02,Spurs,Lakers,107,122
2020-02-03,Pacers,Nuggets,108,96
2020-02-04,Trail Blazers,Suns,106,82
2020-02-05,Pistons,Clippers,131,80
2020-02-06,Hawks,Bucks,114,99
2020-02-07,76ers,Suns,118,91
2020-02-08,Thunder,Suns,113,108
2020-02-09,Rockets,Jazz,122,103
2020-02-10,Pelicans,Warriors,108,92
2020-02-11,Clippers,Trail Blazers,107,98
2020-02-12,Hawks,76ers,101,121
2020-02-13,Bulls,Grizzlies,110,110
2020-02-14,Cavaliers,Jazz,115,116
2020-02-15,Celtics,Spurs,111,112
2020-02-16,Suns,Spurs,107,87
2020-02-17,Mavericks,Warriors,109,108
2020-02-18,Pacers,Knicks,109,112
2020-02-19,Knicks,Pelicans,100,113
2020-02-20,Celtics,Cavaliers,91,109
2020-02-21,Suns,Warriors,109,96
2020-02-22,Nuggets,Trail Blazers,117,104
2020-02-23,Hornets,Suns,119,132
2020-02-24,Pelicans,Spurs,91,118
2020-02-25,Bulls,Nuggets,114,100
2020-02-26,Suns,Pelicans,123,102
2020-02-27,Raptors,Grizzlies,103,112
2020-02-28,Mavericks,Hornets,98,105
2020-02-29,Wizards,Mavericks,105,101
2020-03-01,76ers,Cavaliers,117,140
2020-03-02,Spurs,Jazz,120,143
2020-03-03,Heat,Grizzlies,129,92
2020-03-04,Pacers,Warriors,96,95
2020-03-05,Kings,Magic,123,122
2020-03-06,Jazz,Trail Blazers,137,108
2020-03-07,Suns,Spurs,100,89
2020-03-08,Spurs,Wizards,115,100
2020-03-09,Lakers,Pacers,103,112
2020-03-10,Timberwolves,Trail Blazers,115,110
2020-03-11,Trail Blazers,Cavaliers,117,115
2020-03-12,Nuggets,Kings,134,110
2020-03-13,Lakers,Pistons,138,125
2020-03-14,Suns,Hornets,119,85
2020-03-15,Nets,Magic,114,100
2020-03-16,Raptors,Hawks,108,113
2020-03-17,Cavaliers,Pistons,106,112
2020-03-18,Nuggets,Heat,131,129
2020-03-19,Cavaliers,Lakers,108,92
2020-03-20,Mavericks,Magic,98,116
2020-03-21,Hornets,Kings,103,124
2020-03-22,Mavericks,Rockets,104,118
2020-03-23,Cavaliers,Timberwolves,115,106
2020-03-24,Trail Blazers,Mavericks,88,117
2020-03-25,76ers,Kings,97,119
2020-03-26,Celtics,Pacers,112,97
2020-03-27,Knicks,Grizzlies,89,116
2020-03-28,Hawks,Bulls,125,84
2020-03-29,Trail Blazers,Raptors,92,114
2020-03-30,Magic,Wizards,104,114
2020-03-31,Celtics,Suns,107,102
2020-04-01,Bucks,Spurs,108,107
2020-04-02,Kings,Spurs,114,119
2020-04-03,Heat,76ers,99,120
2020-04-04,Nuggets,Knicks,129,114
2020-04-05,Jazz,Kings,119,107
2020-04-06,Jazz,Clippers,87,130
2020-04-07,Wizards,Raptors,102,134
2020-04-08,Wizards,Hornets,98,115
2020-04-09,Nets,Grizzlies,89,126
2020-04-10,Raptors,Thunder,121,92
2020-04-11,Grizzlies,Clippers,102,122
2020-04-12,Hawks,Wizards,116,105
2020-04-13,Nets,Celtics,117,98
2020-04-14,Heat,Bulls,105,108
2020-04-15,Nuggets,Hornets,132,111
2020-04-16,Rockets,Raptors,131,87
2020-04-17,76ers,Warriors,109,122
2020-04-18,Hornets,Spurs,110,141
2020-04-19,Hawks,Timberwolves,114,123
2020-04-20,Nuggets,Hawks,106,97
2020-04-21,76ers,Hornets,113,115
2020-04-22,Jazz,Wizards,92,105
2020-04-23,Warriors,Suns,100,125
2020-04-24,Rockets,76ers,116,101
2020-04-25,Thunder,Mavericks,102,111
2020-04-26,Lakers,Knicks,88,93
2020-04-27,Hornets,Raptors,86,123
2020-04-28,Clippers,Wizards,109,80
2020-04-29,Heat,Thunder,107,103
2020-04-30,Thunder,Spurs,99,103
2020-05-01,Spurs,Thunder,116,106
2020-05-02,Trail Blazers,Mavericks,107,134
2020-05-03,Suns,Pelicans,104,131
2020-05-04,Cavaliers,Bulls,125,94
2020-05-05,Hornets,Kings,107,111
2020-05-06,Spurs,Bulls,101,111
2020-05-07,Wizards,76ers,115,110
2020-05-08,Wizards,Pelicans,105,112
2020-05-09,Pacers,Suns,110,106
2020-05-10,Rockets,Lakers,115,112
2020-05-11,Pelicans,Trail Blazers,103,102
2020-05-12,Heat,Nets,97,88
2020-05-13,Clippers,Raptors,111,100
2020-05-14,Nuggets,Hawks,126,114
2020-05-15,Suns,Heat,102,117
2020-05-16,Hawks,Celtics,108,118
2020-05-17,Knicks,Trail Blazers,99,92
2020-05-18,Thunder,Hornets,122,126
2020-05-19,Raptors,Spurs,128,113
2020-05-20,Pistons,Bucks,107,111
2020-05-21,Bulls,Bucks,103,99
2020-05-22,Mavericks,Pistons,103,111
2020-05-23,Warriors,Celtics,118,120
2020-05-24,Mavericks,76ers,120,106
2020-05-25,Magic,Rockets,103,111
2020-05-26,Lakers,Nets,104,113
2020-05-27,Suns,Pelicans,112,98
2020-05-28,Mavericks,Pacers,95,95
2020-05-29,Warriors,76ers,117,100
2020-05-30,Timberwolves,Rockets,92,111
2020-05-31,Spurs,Kings,128,101
2020-06-01,Mavericks,Hawks,102,112
2020-06-02,Celtics,Hornets,115,113
2020-06-03,Bulls,Bucks,125,86
2020-06-04,Celtics,76ers,122,93
2020-06-05,Suns,Nets,111,131
2020-06-06,Rockets,76ers,106,105
2020-06-07,Grizzlies,Hornets,107,108
2020-06-08,Heat,Cavaliers,137,106
2020-06-09,Bulls,Pacers,107,115
2020-06-10,Timberwolves,Heat,84,128
2020-06-11,Timberwolves,Cavaliers,106,126
2020-06-12,Celtics,Suns,119,124
2020-06-13,Jazz,Mavericks,84,96
2020-06-14,Rockets,76ers,87,115
2020-06-15,Bucks,Celtics,119,113
2020-06-16,Wizards,Mavericks,100,101
2020-06-17,Clippers,Rockets,107,102
2020-06-18,Pistons,Trail Blazers,108,116
2020-06-19,Rockets,Timberwolves,112,111
2020-06-20,Clippers,Grizzlies,107,115
2020-06-21,Heat,Trail Blazers,102,111
2020-06-22,Thunder,Grizzlies,103,115
2020-06-23,Celtics,Wizards,118,97
2020-06-24,76ers,Wizards,83,105
2020-06-25,Pacers,Warriors,119,118
2020-06-26,Thunder,Rockets,93,143
2020-06-27,Knicks,Nets,95,129
2020-06-28,Nuggets,Rockets,96,101
2020-06-29,Celtics,Nuggets,114,110
2020-06-30,Knicks,Hawks,96,110
2020-07-01,Knicks,Warriors,106,99
2020-07-02,Warriors,Suns,98,105
2020-07-03,Grizzlies,Nets,111,95
2020-07-04,Pistons,Nets,109,104
2020-07-05,Mavericks,Jazz,126,89
2020-07-06,Hornets,Pacers,111,113
2020-07-07,Pelicans,Jazz,98,132
2020-07-08,Nets,Pelicans,112,134
2020-07-09,Bucks,Knicks,105,116
2020-07-10,Pacers,Suns,115,112
2020-07-11,Knicks,Rockets,89,121
2020-07-12,Timberwolves,Mavericks,111,117
2020-07-13,Bulls,Jazz,117,105
2020-07-14,Knicks,Celtics,108,111
2020-07-15,Knicks,Grizzlies,104,126
2020-07-16,Nets,Raptors,112,123
2020-07-17,Knicks,Jazz,120,107
2020-07-18,Bucks,Mavericks,131,109
2020-07-19,Heat,Thunder,108,108
2020-07-20,Warriors,Jazz,104,108
2020-07-21,Magic,Pacers,131,81
2020-07-22,Jazz,Suns,100,116
2020-07-23,Warriors,Cavaliers,84,121
2020-07-24,Kings,Bucks,96,115
2020-07-25,76ers,Rockets,100,132
2020-07-26,Pacers,Rockets,92,113
2020-07-27,Pelicans,Nuggets,108,118
2020-07-28,Warriors,Nuggets,88,100
2020-07-29,Nuggets,Jazz,102,118
2020-07-30,Warriors,Bucks,129,105
2020-07-31,Bucks,Timberwolves,123,121
2020-08-01,Nuggets,Suns,92,107
2020-08-02,Cavaliers,Heat,85,128
2020-08-03,Hawks,Clippers,118,80
2020-08-04,Pistons,Raptors,111,110
2020-08-05,Bucks,Nuggets,110,108
2020-08-06,Celtics,Suns,110,107
2020-08-07,Pelicans,Wizards,111,122
2020-08-08,Clippers,Wizards,119,120
2020-08-09,Thunder,Bulls,115,95
2020-08-10,Rockets,76ers,98,82
2020-08-11,Magic,Nets,101,114
2020-08-12,Wizards,Bulls,105,96
2020-08-13,Jazz,Warriors,112,126
2020-08-14,Kings,Magic,106,117
2020-08-15,Cavaliers,Spurs,128,103
2020-08-16,Bulls,Clippers,112,109
2020-08-17,Nets,Trail Blazers,99,102
2020-08-18,Trail Blazers,Clippers,121,94
2020-08-19,Jazz,Nuggets,100,109
2020-08-20,Celtics,Bulls,98,121
2020-08-21,Celtics,Suns,98,96
2020-08-22,Cavaliers,Pelicans,98,117
2020-08-23,Suns,Wizards,112,116
2020-08-24,Hawks,Pacers,126,115
2020-08-25,76ers,Spurs,90,101
2020-08-26,Timberwolves,Suns,121,127
2020-08-27,Thunder,Warriors,113,130
2020-08-28,Celtics,Thunder,95,121
2020-08-29,Raptors,Nets,120,108
2020-08-30,Heat,Magic,117,106
2020-08-31,Heat,Cavaliers,99,98
2020-09-01,Hornets,Wizards,116,118
2020-09-02,Heat,Grizzlies,102,111
2020-09-03,Raptors,Celtics,110,127
2020-09-04,Grizzlies,Cavaliers,106,107
2020-09-05,Spurs,Clippers,124,106
2020-09-06,Pelicans,Jazz,124,135
2020-09-07,Timberwolves,Suns,116,114
2020-09-08,Nuggets,Wizards,148,115
2020-09-09,Nuggets,Lakers,110,110
2020-09-10,Raptors,Lakers,106,99
2020-09-11,Wizards,Spurs,102,107
2020-09-12,Pacers,Celtics,102,112
2020-09-13,Kings,Nuggets,105,100
2020-09-14,Bulls,Bucks,137,107
2020-09-15,Nuggets,Cavaliers,104,114
2020-09-16,Jazz,Kings,95,114
2020-09-17,Pistons,Jazz,102,110
2020-09-18,Grizzlies,Rockets,129,112
2020-09-19,Timberwolves,Heat,109,105
2020-09-20,Heat,Suns,110,119
2020-09-21,76ers,Suns,109,100
2020-09-22,Heat,Trail Blazers,107,112
2020-09-23,Hornets,Nets,123,114
2020-09-24,Raptors,Mavericks,110,98
2020-09-25,Nets,Pacers,109,97
2020-09-26,Bucks,Kings,106,106
2020-09-27,Suns,Hornets,90,123
2020-09-28,Nuggets,Pelicans,110,119
2020-09-29,Bulls,Clippers,112,105
2020-09-30,Thunder,Knicks,80,114
2020-10-01,76ers,Rockets,115,139
2020-10-02,76ers,Bulls,80,104
2020-10-03,Warriors,Heat,118,100
2020-10-04,Rockets,Thunder,108,109
2020-10-05,Trail Blazers,Timberwolves,94,116
2020-10-06,Timberwolves,Raptors,105,99
2020-10-07,Suns,Bulls,120,99
2020-10-08,Bulls,Lakers,115,110
2020-10-09,Bulls,Grizzlies,107,110
2020-10-10,Pacers,Mavericks,107,94
2020-10-11,Clippers,Knicks,109,102
2020-10-12,Celtics,Nets,104,137
2020-10-13,Lakers,Spurs,106,96
2020-10-14,Heat,Cavaliers,118,102
2020-10-15,Bulls,Spurs,120,116
2020-10-16,Pelicans,Lakers,126,107
2020-10-17,Wizards,Bulls,124,105
2020-10-18,Celtics,Rockets,134,111
2020-10-19,Mavericks,Spurs,108,103
2020-10-20,Knicks,Nuggets,120,99
2020-10-21,Grizzlies,Wizards,97,84
2020-10-22,Trail Blazers,Wizards,142,114
2020-10-23,Celtics,Kings,131,106
2020-10-24,Trail Blazers,Wizards,110,98
2020-10-25,Bulls,Spurs,132,93
2020-10-26,Cavaliers,Spurs,108,122
2020-10-27,Nets,76ers,117,120
2020-10-28,Nuggets,Grizzlies,97,105
2020-10-29,Hornets,Celtics,136,108
2020-10-30,Spurs,Rockets,100,105
2020-10-31,Warriors,Bulls,104,106
2020-11-01,Trail Blazers,Celtics,91,146
2020-11-02,Nets,Celtics,111,119
2020-11-03,Pacers,Thunder,113,95
2020-11-04,Nets,Warriors,108,116
2020-11-05,Clippers,Suns,121,109
2020-11-06,Knicks,Hornets,104,92
2020-11-07,Clippers,Kings,96,135
2020-11-08,Cavaliers,Hawks,119,119
2020-11-09,Grizzlies,Bulls,80,109
2020-11-10,Jazz,Trail Blazers,105,105
2020-11-11,Cavaliers,Spurs,119,113
2020-11-12,Heat,Pacers,119,102
2020-11-13,Wizards,Clippers,99,112
2020-11-14,Grizzlies,Pelicans,109,107
2020-11-15,Raptors,Heat,86,101
2020-11-16,Heat,Raptors,99,104
2020-11-17,Bulls,Kings,90,111
2020-11-18,Pacers,Wizards,126,117
2020-11-19,Suns,Raptors,111,110
2020-11-20,Bucks,76ers,81,117
2020-11-21,Hornets,Cavaliers,111,114
2020-11-22,Hawks,Suns,104,140
2020-11-23,Cavaliers,Thunder,118,109
2020-11-24,Nuggets,Trail Blazers,97,130
2020-11-25,Kings,Magic,115,101
2020-11-26,Timberwolves,Jazz,130,112
2020-11-27,Pacers,Knicks,101,117
2020-11-28,Celtics,Timberwolves,102,109
2020-11-29,Bulls,Mavericks,110,102
2020-11-30,Heat,Mavericks,141,95
2020-12-01,Heat,Timberwolves,108,100
2020-12-02,Bucks,Rockets,115,100
2020-12-03,Suns,Mavericks,97,108
2020-12-04,Bucks,Pelicans,118,116
2020-12-05,Hornets,Lakers,102,124
2020-12-06,Cavaliers,Thunder,114,121
2020-12-07,76ers,Knicks,113,119
2020-12-08,Lakers,Clippers,115,120
2020-12-09,Spurs,Pistons,114,112
2020-12-10,Hawks,Nets,125,112
2020-12-11,Magic,Bulls,101,102
2020-12-12,Kings,Bucks,107,113
2020-12-13,Raptors,Wizards,118,115
2020-12-14,Pelicans,Warriors,108,113
2020-12-15,Kings,Suns,104,120
2020-12-16,Nets,Pistons,137,94
2020-12-17,Rockets,Kings,109,103
2020-12-18,Rockets,Hawks,105,130
2020-12-19,Rockets,76ers,99,118
2020-12-20,Pistons,Heat,114,114
2020-12-21,Suns,Hawks,92,107
