home_team,away_team,home_score,away_score,date
Nuggets,Lakers,119,107,2023-10-24
Warriors,Suns,104,108,2023-10-24
Hornets,Hawks,116,110,2023-10-25
Pacers,Wizards,143,120,2023-10-25
Knicks,Celtics,104,108,2023-10-25
Magic,Rockets,116,86,2023-10-25
Nets,Cavaliers,113,114,2023-10-25
Heat,Pistons,103,102,2023-10-25
Raptors,Timberwolves,97,94,2023-10-25
Bulls,Thunder,104,124,2023-10-25
Grizzlies,Pelicans,104,111,2023-10-25
Jazz,Kings,114,130,2023-10-25
Spurs,Mavericks,119,126,2023-10-25
Clippers,Trail Blazers,123,111,2023-10-25
Bucks,76ers,118,117,2023-10-26
Lakers,Suns,100,95,2023-10-26
Hornets,Pistons,99,111,2023-10-27
Grizzlies,Nuggets,104,108,2023-10-27
Hawks,Knicks,120,126,2023-10-27
Celtics,Heat,119,111,2023-10-27
Cavaliers,Thunder,105,108,2023-10-27
Bulls,Raptors,104,103,2023-10-27
Spurs,Rockets,126,122,2023-10-27
Mavericks,Nets,125,120,2023-10-27
Jazz,Clippers,120,118,2023-10-27
Trail Blazers,Magic,97,102,2023-10-27
Kings,Warriors,114,122,2023-10-27
Pistons,Bulls,118,102,2023-10-28
Wizards,Grizzlies,113,106,2023-10-28
Pelicans,Knicks,96,87,2023-10-28
Cavaliers,Pacers,113,125,2023-10-28
Raptors,76ers,107,114,2023-10-28
Timberwolves,Heat,106,90,2023-10-28
Suns,Jazz,126,104,2023-10-28
Thunder,Nuggets,95,128,2023-10-29
Rockets,Warriors,95,106,2023-10-29
Bucks,Hawks,110,127,2023-10-29
76ers,Trail Blazers,126,98,2023-10-29
Clippers,Spurs,123,83,2023-10-29
Kings,Lakers,132,127,2023-10-29
Hornets,Nets,121,133,2023-10-30
Pacers,Bulls,105,112,2023-10-30
Wizards,Celtics,107,126,2023-10-30
Hawks,Timberwolves,127,113,2023-10-30
Raptors,Trail Blazers,91,99,2023-10-30
Grizzlies,Mavericks,110,125,2023-10-30
Bucks,Heat,122,114,2023-10-30
Pelicans,Warriors,102,130,2023-10-30
Thunder,Pistons,124,112,2023-10-30
Nuggets,Jazz,110,102,2023-10-30
Lakers,Magic,106,103,2023-10-30
Cavaliers,Knicks,91,109,2023-10-31
Suns,Spurs,114,115,2023-10-31
Clippers,Magic,118,102,2023-10-31
Pistons,Trail Blazers,101,110,2023-11-01
Raptors,Bucks,130,111,2023-11-01
Hawks,Wizards,130,121,2023-11-01
Celtics,Pacers,155,104,2023-11-01
Heat,Nets,105,109,2023-11-01
Knicks,Cavaliers,89,95,2023-11-01
Thunder,Pelicans,106,110,2023-11-01
Rockets,Hornets,128,119,2023-11-01
Timberwolves,Nuggets,110,89,2023-11-01
Mavericks,Bulls,114,105,2023-11-01
Jazz,Grizzlies,133,109,2023-11-01
Warriors,Kings,102,101,2023-11-01
Lakers,Clippers,130,125,2023-11-01
76ers,Raptors,114,99,2023-11-02
Pelicans,Pistons,125,116,2023-11-02
Jazz,Magic,113,115,2023-11-02
Suns,Spurs,121,132,2023-11-02
Pacers,Cavaliers,121,116,2023-11-03
Bucks,Knicks,110,105,2023-11-03
Heat,Wizards,121,114,2023-11-03
Bulls,Nets,107,109,2023-11-03
Thunder,Warriors,139,141,2023-11-03
Nuggets,Mavericks,125,114,2023-11-03
Trail Blazers,Grizzlies,115,113,2023-11-03
76ers,Suns,112,100,2023-11-04
Pacers,Hornets,124,125,2023-11-04
Magic,Lakers,120,101,2023-11-04
Pelicans,Hawks,105,123,2023-11-04
Nets,Celtics,114,124,2023-11-04
Rockets,Kings,107,89,2023-11-04
Timberwolves,Jazz,123,95,2023-11-04
Nuggets,Bulls,123,101,2023-11-04
Pistons,Suns,106,120,2023-11-05
Spurs,Raptors,116,123,2023-11-05
Cavaliers,Warriors,115,104,2023-11-05
Mavericks,Hornets,124,118,2023-11-05
Trail Blazers,Grizzlies,100,112,2023-11-05
Pistons,Warriors,109,120,2023-11-06
Pacers,Spurs,152,111,2023-11-06
Magic,Mavericks,102,117,2023-11-06
76ers,Wizards,146,128,2023-11-06
Nets,Bucks,125,129,2023-11-06
Heat,Lakers,108,107,2023-11-06
Knicks,Clippers,111,97,2023-11-06
Bulls,Jazz,130,113,2023-11-06
Rockets,Kings,122,97,2023-11-06
Nuggets,Lakers,119,107,2023-10-24
Warriors,Suns,104,108,2023-10-24
Hornets,Hawks,116,110,2023-10-25
Pacers,Wizards,143,120,2023-10-25
Knicks,Celtics,104,108,2023-10-25
Magic,Rockets,116,86,2023-10-25
Nets,Cavaliers,113,114,2023-10-25
Heat,Pistons,103,102,2023-10-25
Raptors,Timberwolves,97,94,2023-10-25
Bulls,Thunder,104,124,2023-10-25
Grizzlies,Pelicans,104,111,2023-10-25
Jazz,Kings,114,130,2023-10-25
Spurs,Mavericks,119,126,2023-10-25
Clippers,Trail Blazers,123,111,2023-10-25
Bucks,76ers,118,117,2023-10-26
Lakers,Suns,100,95,2023-10-26
Hornets,Pistons,99,111,2023-10-27
Grizzlies,Nuggets,104,108,2023-10-27
Hawks,Knicks,120,126,2023-10-27
Celtics,Heat,119,111,2023-10-27
Cavaliers,Thunder,105,108,2023-10-27
Bulls,Raptors,104,103,2023-10-27
Spurs,Rockets,126,122,2023-10-27
Mavericks,Nets,125,120,2023-10-27
Jazz,Clippers,120,118,2023-10-27
Trail Blazers,Magic,97,102,2023-10-27
Kings,Warriors,114,122,2023-10-27
Pistons,Bulls,118,102,2023-10-28
Wizards,Grizzlies,113,106,2023-10-28
Pelicans,Knicks,96,87,2023-10-28
Cavaliers,Pacers,113,125,2023-10-28
Raptors,76ers,107,114,2023-10-28
Timberwolves,Heat,106,90,2023-10-28
Suns,Jazz,126,104,2023-10-28
Thunder,Nuggets,95,128,2023-10-29
Rockets,Warriors,95,106,2023-10-29
Bucks,Hawks,110,127,2023-10-29
76ers,Trail Blazers,126,98,2023-10-29
Clippers,Spurs,123,83,2023-10-29
Kings,Lakers,132,127,2023-10-29
Hornets,Nets,121,133,2023-10-30
Pacers,Bulls,105,112,2023-10-30
Wizards,Celtics,107,126,2023-10-30
Hawks,Timberwolves,127,113,2023-10-30
Raptors,Trail Blazers,91,99,2023-10-30
Grizzlies,Mavericks,110,125,2023-10-30
Bucks,Heat,122,114,2023-10-30
Pelicans,Warriors,102,130,2023-10-30
Thunder,Pistons,124,112,2023-10-30
Nuggets,Jazz,110,102,2023-10-30
Lakers,Magic,106,103,2023-10-30
Cavaliers,Knicks,91,109,2023-10-31
Suns,Spurs,114,115,2023-10-31
Clippers,Magic,118,102,2023-10-31
Pistons,Trail Blazers,101,110,2023-11-01
Raptors,Bucks,130,111,2023-11-01
Hawks,Wizards,130,121,2023-11-01
Celtics,Pacers,155,104,2023-11-01
Heat,Nets,105,109,2023-11-01
Knicks,Cavaliers,89,95,2023-11-01
Thunder,Pelicans,106,110,2023-11-01
Rockets,Hornets,128,119,2023-11-01
Timberwolves,Nuggets,110,89,2023-11-01
Mavericks,Bulls,114,105,2023-11-01
Jazz,Grizzlies,133,109,2023-11-01
Warriors,Kings,102,101,2023-11-01
Lakers,Clippers,130,125,2023-11-01
76ers,Raptors,114,99,2023-11-02
Pelicans,Pistons,125,116,2023-11-02
Jazz,Magic,113,115,2023-11-02
Suns,Spurs,121,132,2023-11-02
Pacers,Cavaliers,121,116,2023-11-03
Bucks,Knicks,110,105,2023-11-03
Heat,Wizards,121,114,2023-11-03
Bulls,Nets,107,109,2023-11-03
Thunder,Warriors,139,141,2023-11-03
Nuggets,Mavericks,125,114,2023-11-03
Trail Blazers,Grizzlies,115,113,2023-11-03
76ers,Suns,112,100,2023-11-04
Pacers,Hornets,124,125,2023-11-04
Magic,Lakers,120,101,2023-11-04
Pelicans,Hawks,105,123,2023-11-04
Nets,Celtics,114,124,2023-11-04
Rockets,Kings,107,89,2023-11-04
Timberwolves,Jazz,123,95,2023-11-04
Nuggets,Bulls,123,101,2023-11-04
Pistons,Suns,106,120,2023-11-05
Spurs,Raptors,116,123,2023-11-05
Cavaliers,Warriors,115,104,2023-11-05
Mavericks,Hornets,124,118,2023-11-05
Trail Blazers,Grizzlies,100,112,2023-11-05
Pistons,Warriors,109,120,2023-11-06
Pacers,Spurs,152,111,2023-11-06
Magic,Mavericks,102,117,2023-11-06
76ers,Wizards,146,128,2023-11-06
Nets,Bucks,125,129,2023-11-06
Heat,Lakers,108,107,2023-11-06
Knicks,Clippers,111,97,2023-11-06
Bulls,Jazz,130,113,2023-11-06
Rockets,Kings,122,97,2023-11-06
Nuggets,Lakers,119,107,2023-10-24
Warriors,Suns,104,108,2023-10-24
Hornets,Hawks,116,110,2023-10-25
Pacers,Wizards,143,120,2023-10-25
Knicks,Celtics,104,108,2023-10-25
Magic,Rockets,116,86,2023-10-25
Nets,Cavaliers,113,114,2023-10-25
Heat,Pistons,103,102,2023-10-25
Raptors,Timberwolves,97,94,2023-10-25
Bulls,Thunder,104,124,2023-10-25
Grizzlies,Pelicans,104,111,2023-10-25
Jazz,Kings,114,130,2023-10-25
Spurs,Mavericks,119,126,2023-10-25
Clippers,Trail Blazers,123,111,2023-10-25
Bucks,76ers,118,117,2023-10-26
Lakers,Suns,100,95,2023-10-26
Hornets,Pistons,99,111,2023-10-27
Grizzlies,Nuggets,104,108,2023-10-27
Hawks,Knicks,120,126,2023-10-27
Celtics,Heat,119,111,2023-10-27
Cavaliers,Thunder,105,108,2023-10-27
Bulls,Raptors,104,103,2023-10-27
Spurs,Rockets,126,122,2023-10-27
Mavericks,Nets,125,120,2023-10-27
